,QuestionLink,category,correct,lang,optA,optB,optC,optD,sectionType,sl.no,sources,usedFor
30,https://i.imgur.com/P7Rx37o.png,8.1,b,Hindi,A,B,C,D,gk,31,manohar pandey,GROUP_D
31,https://i.imgur.com/zjrMlyJ.png,8.1,b,Hindi,A,B,C,D,gk,32,manohar pandey,GROUP_D
32,https://i.imgur.com/FLZJomN.png,8.1,d,Hindi,A,B,C,D,gk,33,manohar pandey,GROUP_D
33,https://i.imgur.com/mRC1df5.png,8.1,a,Hindi,A,B,C,D,gk,34,manohar pandey,GROUP_D
34,https://i.imgur.com/mSVBlvG.png,8.1,a,Hindi,A,B,C,D,gk,35,manohar pandey,GROUP_D
35,https://i.imgur.com/XuTTVaR.png,8.1,b,Hindi,A,B,C,D,gk,36,manohar pandey,GROUP_D
36,https://i.imgur.com/eiZ7DuR.png,8.1,a,Hindi,A,B,C,D,gk,37,manohar pandey,GROUP_D
37,https://i.imgur.com/w9zSmbp.png,8.1,a,Hindi,A,B,C,D,gk,38,manohar pandey,GROUP_D
38,https://i.imgur.com/twtlfys.png,8.1,b,Hindi,A,B,C,D,gk,39,manohar pandey,GROUP_D
39,https://i.imgur.com/k0cp7DC.png,8.1,c,Hindi,A,B,C,D,gk,40,manohar pandey,GROUP_D
40,https://i.imgur.com/FBa4GDg.png,8.1,c,Hindi,A,B,C,D,gk,41,manohar pandey,GROUP_D
41,https://i.imgur.com/5T5jV4i.png,8.1,a,Hindi,A,B,C,D,gk,42,manohar pandey,GROUP_D
42,https://i.imgur.com/uHVGqUM.png,8.1,c,Hindi,A,B,C,D,gk,44,manohar pandey,GROUP_D
43,https://i.imgur.com/IcWOMYd.png,8.1,c,Hindi,A,B,C,D,gk,45,manohar pandey,GROUP_D
44,https://i.imgur.com/jftuwdo.png,8.1,a,Hindi,A,B,C,D,gk,46,manohar pandey,GROUP_D
45,https://i.imgur.com/bi9KTMz.png,8.1,a,Hindi,A,B,C,D,gk,47,manohar pandey,GROUP_D
46,https://i.imgur.com/v8S6KVu.png,8.1,a,Hindi,A,B,C,D,gk,48,manohar pandey,GROUP_D
47,https://i.imgur.com/mx7p2qM.png,8.1,a,Hindi,A,B,C,D,gk,49,manohar pandey,GROUP_D
48,https://i.imgur.com/I6ujvKu.png,8.1,a,Hindi,A,B,C,D,gk,50,manohar pandey,GROUP_D
49,https://i.imgur.com/puwuCer.png,8.1,d,Hindi,A,B,C,D,gk,51,manohar pandey,GROUP_D
50,https://i.imgur.com/49TVgbp.png,8.1,c,Hindi,A,B,C,D,gk,52,manohar pandey,GROUP_D
51,https://i.imgur.com/Au2Dunb.png,8.1,a,Hindi,A,B,C,D,gk,53,manohar pandey,GROUP_D
52,https://i.imgur.com/2K7sKYQ.png,8.1,a,Hindi,A,B,C,D,gk,54,manohar pandey,GROUP_D
53,https://i.imgur.com/dmsUQJJ.png,8.1,d,Hindi,A,B,C,D,gk,56,manohar pandey,GROUP_D
54,https://i.imgur.com/3pIeoCK.png,8.1,d,Hindi,A,B,C,D,gk,57,manohar pandey,GROUP_D
55,https://i.imgur.com/fRe6JWV.png,8.1,a,Hindi,A,B,C,D,gk,58,manohar pandey,GROUP_D
56,https://i.imgur.com/wqH34CD.png,8.1,a,Hindi,A,B,C,D,gk,59,manohar pandey,GROUP_D
57,https://i.imgur.com/WMBxjMV.png,8.1,c,Hindi,A,B,C,D,gk,60,manohar pandey,GROUP_D
58,https://i.imgur.com/ttM75Fj.png,8.1,d,Hindi,A,B,C,D,gk,61,manohar pandey,GROUP_D
59,https://i.imgur.com/z7GB3th.png,8.1,d,Hindi,A,B,C,D,gk,62,manohar pandey,GROUP_D
60,https://i.imgur.com/1eOHCuk.png,8.1,c,Hindi,A,B,C,D,gk,63,manohar pandey,GROUP_D
61,https://i.imgur.com/b3ZZ2za.png,8.1,c,Hindi,A,B,C,D,gk,64,manohar pandey,GROUP_D
62,https://i.imgur.com/eTVC10q.png,8.1,d,Hindi,A,B,C,D,gk,65,manohar pandey,GROUP_D
63,https://i.imgur.com/wefFV3p.png,8.1,a,Hindi,A,B,C,D,gk,66,manohar pandey,GROUP_D
64,https://i.imgur.com/ygBxhUV.png,8.1,c,Hindi,A,B,C,D,gk,67,manohar pandey,GROUP_D
65,https://i.imgur.com/c20ggEf.png,8.1,c,Hindi,A,B,C,D,gk,68,manohar pandey,GROUP_D
66,https://i.imgur.com/CQ5QPKq.png,8.1,a,Hindi,A,B,C,D,gk,69,manohar pandey,GROUP_D
67,https://i.imgur.com/k2n4g3z.png,8.1,a,Hindi,A,B,C,D,gk,70,manohar pandey,GROUP_D
68,https://i.imgur.com/9Vo1oEj.png,8.1,d,Hindi,A,B,C,D,gk,71,manohar pandey,GROUP_D
69,https://i.imgur.com/h3YRvJF.png,8.1,d,Hindi,A,B,C,D,gk,72,manohar pandey,GROUP_D
70,https://i.imgur.com/fjNQVAG.png,8.1,a,Hindi,A,B,C,D,gk,73,manohar pandey,GROUP_D
71,https://i.imgur.com/FkMpuie.png,8.1,a,Hindi,A,B,C,D,gk,74,manohar pandey,GROUP_D
72,https://i.imgur.com/Nnj8hHM.png,8.1,a,Hindi,A,B,C,D,gk,76,manohar pandey,GROUP_D
73,https://i.imgur.com/lAIS2Yu.png,8.1,d,Hindi,A,B,C,D,gk,77,manohar pandey,GROUP_D
74,https://i.imgur.com/HbpGKqd.png,8.1,b,Hindi,A,B,C,D,gk,78,manohar pandey,GROUP_D
75,https://i.imgur.com/nDj34R0.png,8.1,b,Hindi,A,B,C,D,gk,79,manohar pandey,GROUP_D
76,https://i.imgur.com/fNVib8N.png,8.1,c,Hindi,A,B,C,D,gk,80,manohar pandey,GROUP_D
77,https://i.imgur.com/uwJP30D.png,8.1,a,Hindi,A,B,C,D,gk,81,manohar pandey,GROUP_D
78,https://i.imgur.com/U741DYk.png,8.1,d,Hindi,A,B,C,D,gk,82,manohar pandey,GROUP_D
79,https://i.imgur.com/Avaa8D7.png,8.1,b,Hindi,A,B,C,D,gk,83,manohar pandey,GROUP_D
80,https://i.imgur.com/7DOHH6q.png,8.1,d,Hindi,A,B,C,D,gk,84,manohar pandey,GROUP_D
81,https://i.imgur.com/vv8ya4c.png,8.1,c,Hindi,A,B,C,D,gk,85,manohar pandey,GROUP_D
82,https://i.imgur.com/CChUtJA.png,8.1,a,Hindi,A,B,C,D,gk,86,manohar pandey,GROUP_D
83,https://i.imgur.com/mdkCCBF.png,8.1,b,Hindi,A,B,C,D,gk,87,manohar pandey,GROUP_D
84,https://i.imgur.com/JQ0Dry8.png,8.1,a,Hindi,A,B,C,D,gk,88,manohar pandey,GROUP_D
85,https://i.imgur.com/H4GbJiI.png,8.1,a,Hindi,A,B,C,D,gk,89,manohar pandey,GROUP_D
86,https://i.imgur.com/X0VRRof.png,8.1,d,Hindi,A,B,C,D,gk,90,manohar pandey,GROUP_D
87,https://i.imgur.com/dSzYzBI.png,8.1,c,Hindi,A,B,C,D,gk,91,manohar pandey,GROUP_D
88,https://i.imgur.com/WBE0k9f.png,8.1,b,Hindi,A,B,C,D,gk,92,manohar pandey,GROUP_D
89,https://i.imgur.com/FemTVqa.png,8.1,a,Hindi,A,B,C,D,gk,93,manohar pandey,GROUP_D
90,https://i.imgur.com/94Gnv4B.png,8.1,c,Hindi,A,B,C,D,gk,94,manohar pandey,GROUP_D
91,https://i.imgur.com/PuAlvlx.png,8.1,d,Hindi,A,B,C,D,gk,95,manohar pandey,GROUP_D
92,https://i.imgur.com/x0m2roV.png,8.1,c,Hindi,A,B,C,D,gk,96,manohar pandey,GROUP_D
93,https://i.imgur.com/x1tjmmW.png,8.1,a,Hindi,A,B,C,D,gk,97,manohar pandey,GROUP_D
94,https://i.imgur.com/OBUDKjn.png,8.1,a,Hindi,A,B,C,D,gk,98,manohar pandey,GROUP_D
95,https://i.imgur.com/r7fsBbm.png,8.1,b,Hindi,A,B,C,D,gk,99,manohar pandey,GROUP_D
96,https://i.imgur.com/V1Ch6p6.png,8.1,b,Hindi,A,B,C,D,gk,100,manohar pandey,GROUP_D
97,https://i.imgur.com/oP5Pdi3.png,8.1,d,Hindi,A,B,C,D,gk,101,manohar pandey,GROUP_D
98,https://i.imgur.com/gzugXR9.png,8.1,d,Hindi,A,B,C,D,gk,102,manohar pandey,GROUP_D
99,https://i.imgur.com/3jk2hD5.png,8.1,a,Hindi,A,B,C,D,gk,103,manohar pandey,GROUP_D
100,https://i.imgur.com/BUJZDSX.png,8.1,a,Hindi,A,B,C,D,gk,104,manohar pandey,GROUP_D
101,https://i.imgur.com/TWg1T1x.png,8.1,b,Hindi,A,B,C,D,gk,105,manohar pandey,GROUP_D
102,https://i.imgur.com/gULvz42.png,8.1,d,Hindi,A,B,C,D,gk,106,manohar pandey,GROUP_D
103,https://i.imgur.com/VRrhaSr.png,8.1,c,Hindi,A,B,C,D,gk,107,manohar pandey,GROUP_D
104,https://i.imgur.com/RPXYeoW.png,8.1,d,Hindi,A,B,C,D,gk,109,manohar pandey,GROUP_D
105,https://i.imgur.com/XiVmK8n.png,8.1,c,Hindi,A,B,C,D,gk,110,manohar pandey,GROUP_D
106,https://i.imgur.com/9Un646d.png,8.1,a,Hindi,A,B,C,D,gk,111,manohar pandey,GROUP_D
107,https://i.imgur.com/MDuCQI4.png,8.1,a,Hindi,A,B,C,D,gk,112,manohar pandey,GROUP_D
108,https://i.imgur.com/vx5Wa0J.png,8.1,a,Hindi,A,B,C,D,gk,113,manohar pandey,GROUP_D
109,https://i.imgur.com/hEl194J.png,8.1,c,Hindi,A,B,C,D,gk,114,manohar pandey,GROUP_D
110,https://i.imgur.com/LdWMCZe.png,8.1,c,Hindi,A,B,C,D,gk,115,manohar pandey,GROUP_D
111,https://i.imgur.com/Vzc4jSy.png,8.1,b,Hindi,A,B,C,D,gk,116,manohar pandey,GROUP_D
112,https://i.imgur.com/ddkTRE7.png,8.1,a,Hindi,A,B,C,D,gk,117,manohar pandey,GROUP_D
113,https://i.imgur.com/TWtnDe6.png,8.1,c,Hindi,A,B,C,D,gk,118,manohar pandey,GROUP_D
114,https://i.imgur.com/5EuuD0w.png,8.1,a,Hindi,A,B,C,D,gk,119,manohar pandey,GROUP_D
115,https://i.imgur.com/7H4Z0zK.png,8.1,b,Hindi,A,B,C,D,gk,120,manohar pandey,GROUP_D
116,https://i.imgur.com/bLKU1kg.png,8.1,a,Hindi,A,B,C,D,gk,121,manohar pandey,GROUP_D
117,https://i.imgur.com/1Sq0wcP.png,8.1,c,Hindi,A,B,C,D,gk,122,manohar pandey,GROUP_D
118,https://i.imgur.com/FnlS2LK.png,8.1,d,Hindi,A,B,C,D,gk,123,manohar pandey,GROUP_D
119,https://i.imgur.com/M24C722.png,8.1,b,Hindi,A,B,C,D,gk,124,manohar pandey,GROUP_D
120,https://i.imgur.com/9XMtsaK.png,8.1,a,Hindi,A,B,C,D,gk,125,manohar pandey,GROUP_D
121,https://i.imgur.com/QIUOnT1.png,8.1,c,Hindi,A,B,C,D,gk,126,manohar pandey,GROUP_D
122,https://i.imgur.com/gl0a3f3.png,8.1,a,Hindi,A,B,C,D,gk,127,manohar pandey,GROUP_D
123,https://i.imgur.com/PHK1I45.png,8.1,c,Hindi,A,B,C,D,gk,128,manohar pandey,GROUP_D
124,https://i.imgur.com/2gLf0eF.png,8.1,c,Hindi,A,B,C,D,gk,129,manohar pandey,GROUP_D
125,https://i.imgur.com/mdTBB5P.png,8.1,b,Hindi,A,B,C,D,gk,130,manohar pandey,GROUP_D
126,https://i.imgur.com/GZQy50Q.png,8.1,d,Hindi,A,B,C,D,gk,131,manohar pandey,GROUP_D
127,https://i.imgur.com/7LU9qfs.png,8.1,a,Hindi,A,B,C,D,gk,132,manohar pandey,GROUP_D
128,https://i.imgur.com/pFo0wkB.png,8.1,d,Hindi,A,B,C,D,gk,133,manohar pandey,GROUP_D
129,https://i.imgur.com/NoveNy2.png,8.1,c,Hindi,A,B,C,D,gk,135,manohar pandey,GROUP_D
130,https://i.imgur.com/Nt5KOsy.png,8.1,c,Hindi,A,B,C,D,gk,136,manohar pandey,GROUP_D
131,https://i.imgur.com/AoF5MtU.png,8.1,a,Hindi,A,B,C,D,gk,137,manohar pandey,GROUP_D
0,https://i.imgur.com/vQFt8VP.png,5.1,c,Hindi,A,B,C,D,gk,1,manohar pandey,GROUP_D
1,https://i.imgur.com/AxLnyZC.png,5.1,b,Hindi,A,B,C,D,gk,2,manohar pandey,GROUP_D
2,https://i.imgur.com/FL5jRD0.png,5.1,b,Hindi,A,B,C,D,gk,3,manohar pandey,GROUP_D
3,https://i.imgur.com/2cGHLTI.png,5.1,c,Hindi,A,B,C,D,gk,4,manohar pandey,GROUP_D
4,https://i.imgur.com/BmTsGUg.png,5.1,a,Hindi,A,B,C,D,gk,6,manohar pandey,GROUP_D
5,https://i.imgur.com/9T4tveJ.png,5.1,a,Hindi,A,B,C,D,gk,7,manohar pandey,GROUP_D
6,https://i.imgur.com/nEpAv18.png,5.1,a,Hindi,A,B,C,D,gk,8,manohar pandey,GROUP_D
7,https://i.imgur.com/yIFX5Fp.png,5.1,b,Hindi,A,B,C,D,gk,10,manohar pandey,GROUP_D
8,https://i.imgur.com/1WBhe9K.png,5.1,a,Hindi,A,B,C,D,gk,11,manohar pandey,GROUP_D
9,https://i.imgur.com/T5zV10w.png,5.1,b,Hindi,A,B,C,D,gk,12,manohar pandey,GROUP_D
10,https://i.imgur.com/PhAf16r.png,5.1,d,Hindi,A,B,C,D,gk,13,manohar pandey,GROUP_D
11,https://i.imgur.com/1V0NxTV.png,5.1,d,Hindi,A,B,C,D,gk,14,manohar pandey,GROUP_D
12,https://i.imgur.com/tLkIl0X.png,5.1,c,Hindi,A,B,C,D,gk,15,manohar pandey,GROUP_D
13,https://i.imgur.com/Lk5lJLi.png,5.1,c,Hindi,A,B,C,D,gk,16,manohar pandey,GROUP_D
14,https://i.imgur.com/5ZZZ05E.png,5.1,b,Hindi,A,B,C,D,gk,17,manohar pandey,GROUP_D
15,https://i.imgur.com/1OxxGsm.png,5.1,c,Hindi,A,B,C,D,gk,18,manohar pandey,GROUP_D
16,https://i.imgur.com/UsFQC8L.png,5.1,d,Hindi,A,B,C,D,gk,20,manohar pandey,GROUP_D
17,https://i.imgur.com/5fhdcy8.png,5.1,d,Hindi,A,B,C,D,gk,21,manohar pandey,GROUP_D
18,https://i.imgur.com/v8bRvDa.png,5.1,a,Hindi,A,B,C,D,gk,22,manohar pandey,GROUP_D
19,https://i.imgur.com/XXup6LD.png,5.1,c,Hindi,A,B,C,D,gk,23,manohar pandey,GROUP_D
20,https://i.imgur.com/TsS1Xjt.png,5.1,d,Hindi,A,B,C,D,gk,24,manohar pandey,GROUP_D
21,https://i.imgur.com/jvRh1Xb.png,5.1,d,Hindi,A,B,C,D,gk,25,manohar pandey,GROUP_D
22,https://i.imgur.com/wNRG5c7.png,5.1,c,Hindi,A,B,C,D,gk,27,manohar pandey,GROUP_D
23,https://i.imgur.com/pSmfGDg.png,5.1,d,Hindi,A,B,C,D,gk,28,manohar pandey,GROUP_D
24,https://i.imgur.com/VhAb3YL.png,5.1,d,Hindi,A,B,C,D,gk,29,manohar pandey,GROUP_D
25,https://i.imgur.com/Rd3EUwU.png,5.1,c,Hindi,A,B,C,D,gk,30,manohar pandey,GROUP_D
26,https://i.imgur.com/neBbqJx.png,5.1,d,Hindi,A,B,C,D,gk,31,manohar pandey,GROUP_D
27,https://i.imgur.com/6wPEXTJ.png,5.1,d,Hindi,A,B,C,D,gk,32,manohar pandey,GROUP_D
28,https://i.imgur.com/JgmSSIt.png,5.1,c,Hindi,A,B,C,D,gk,33,manohar pandey,GROUP_D
29,https://i.imgur.com/REWkAJP.png,5.1,a,Hindi,A,B,C,D,gk,34,manohar pandey,GROUP_D
30,https://i.imgur.com/Wcasatd.png,5.1,c,Hindi,A,B,C,D,gk,35,manohar pandey,GROUP_D
31,https://i.imgur.com/ZrDuJU8.png,5.1,c,Hindi,A,B,C,D,gk,36,manohar pandey,GROUP_D
32,https://i.imgur.com/6UVpp02.png,5.1,b,Hindi,A,B,C,D,gk,37,manohar pandey,GROUP_D
33,https://i.imgur.com/8XupQoF.png,5.1,a,Hindi,A,B,C,D,gk,38,manohar pandey,GROUP_D
34,https://i.imgur.com/tpW0snP.png,5.1,c,Hindi,A,B,C,D,gk,39,manohar pandey,GROUP_D
35,https://i.imgur.com/6mEwMA3.png,5.1,c,Hindi,A,B,C,D,gk,40,manohar pandey,GROUP_D
36,https://i.imgur.com/szMt1aY.png,5.1,b,Hindi,A,B,C,D,gk,41,manohar pandey,GROUP_D
37,https://i.imgur.com/3EYi5Q9.png,5.1,a,Hindi,A,B,C,D,gk,42,manohar pandey,GROUP_D
38,https://i.imgur.com/8D32vEY.png,5.1,d,Hindi,A,B,C,D,gk,43,manohar pandey,GROUP_D
39,https://i.imgur.com/colXkH8.png,5.1,d,Hindi,A,B,C,D,gk,44,manohar pandey,GROUP_D
40,https://i.imgur.com/8KuSdIe.png,5.1,b,Hindi,A,B,C,D,gk,45,manohar pandey,GROUP_D
41,https://i.imgur.com/YcxUJls.png,5.1,c,Hindi,A,B,C,D,gk,46,manohar pandey,GROUP_D
42,https://i.imgur.com/Ty1fPsy.png,5.1,a,Hindi,A,B,C,D,gk,48,manohar pandey,GROUP_D
43,https://i.imgur.com/8s4Xb0n.png,5.1,b,Hindi,A,B,C,D,gk,49,manohar pandey,GROUP_D
44,https://i.imgur.com/dXDEOW8.png,5.1,d,Hindi,A,B,C,D,gk,50,manohar pandey,GROUP_D
45,https://i.imgur.com/n3oRPyp.png,5.1,b,Hindi,A,B,C,D,gk,51,manohar pandey,GROUP_D
46,https://i.imgur.com/bRC4R5A.png,5.1,a,Hindi,A,B,C,D,gk,52,manohar pandey,GROUP_D
47,https://i.imgur.com/x2zMG3M.png,5.1,b,Hindi,A,B,C,D,gk,53,manohar pandey,GROUP_D
48,https://i.imgur.com/jluLuHt.png,5.1,a,Hindi,A,B,C,D,gk,54,manohar pandey,GROUP_D
49,https://i.imgur.com/mN0S3KV.png,5.1,a,Hindi,A,B,C,D,gk,55,manohar pandey,GROUP_D
50,https://i.imgur.com/k3bfOFn.png,5.1,b,Hindi,A,B,C,D,gk,56,manohar pandey,GROUP_D
51,https://i.imgur.com/5z9rylM.png,5.1,d,Hindi,A,B,C,D,gk,57,manohar pandey,GROUP_D
52,https://i.imgur.com/aLZJm97.png,5.1,b,Hindi,A,B,C,D,gk,58,manohar pandey,GROUP_D
53,https://i.imgur.com/u3ys12C.png,5.1,b,Hindi,A,B,C,D,gk,59,manohar pandey,GROUP_D
54,https://i.imgur.com/vtQvpAN.png,5.1,b,Hindi,A,B,C,D,gk,61,manohar pandey,GROUP_D
55,https://i.imgur.com/n3ruM28.png,5.1,d,Hindi,A,B,C,D,gk,62,manohar pandey,GROUP_D
56,https://i.imgur.com/euuGe5m.png,5.1,d,Hindi,A,B,C,D,gk,63,manohar pandey,GROUP_D
57,https://i.imgur.com/JlCSJ9N.png,5.1,d,Hindi,A,B,C,D,gk,64,manohar pandey,GROUP_D
58,https://i.imgur.com/hnyD6Gk.png,5.1,c,Hindi,A,B,C,D,gk,65,manohar pandey,GROUP_D
59,https://i.imgur.com/w37X8xT.png,5.1,c,Hindi,A,B,C,D,gk,66,manohar pandey,GROUP_D
60,https://i.imgur.com/YMINbxB.png,5.1,b,Hindi,A,B,C,D,gk,67,manohar pandey,GROUP_D
61,https://i.imgur.com/kwpBwQc.png,5.1,c,Hindi,A,B,C,D,gk,68,manohar pandey,GROUP_D
62,https://i.imgur.com/nPzqygp.png,5.1,d,Hindi,A,B,C,D,gk,69,manohar pandey,GROUP_D
63,https://i.imgur.com/ETqAxOi.png,5.1,a,Hindi,A,B,C,D,gk,70,manohar pandey,GROUP_D
64,https://i.imgur.com/Q2VY2qX.png,5.1,a,Hindi,A,B,C,D,gk,71,manohar pandey,GROUP_D
65,https://i.imgur.com/VogNFDe.png,5.1,c,Hindi,A,B,C,D,gk,72,manohar pandey,GROUP_D
66,https://i.imgur.com/0MbEfIh.png,5.1,c,Hindi,A,B,C,D,gk,73,manohar pandey,GROUP_D
67,https://i.imgur.com/Tpa7EaF.png,5.1,a,Hindi,A,B,C,D,gk,74,manohar pandey,GROUP_D
68,https://i.imgur.com/lAMB0fQ.png,5.1,d,Hindi,A,B,C,D,gk,75,manohar pandey,GROUP_D
69,https://i.imgur.com/WDPV3t9.png,5.1,a,Hindi,A,B,C,D,gk,76,manohar pandey,GROUP_D
70,https://i.imgur.com/AIhSsEe.png,5.1,d,Hindi,A,B,C,D,gk,78,manohar pandey,GROUP_D
71,https://i.imgur.com/aJVlelK.png,5.1,b,Hindi,A,B,C,D,gk,79,manohar pandey,GROUP_D
72,https://i.imgur.com/3MN5347.png,5.1,d,Hindi,A,B,C,D,gk,80,manohar pandey,GROUP_D
73,https://i.imgur.com/XgF9uMV.png,5.1,b,Hindi,A,B,C,D,gk,81,manohar pandey,GROUP_D
74,https://i.imgur.com/UgHX83q.png,5.1,b,Hindi,A,B,C,D,gk,83,manohar pandey,GROUP_D
75,https://i.imgur.com/zIyOWSe.png,5.1,b,Hindi,A,B,C,D,gk,84,manohar pandey,GROUP_D
76,https://i.imgur.com/srdL4Jy.png,5.1,b,Hindi,A,B,C,D,gk,85,manohar pandey,GROUP_D
77,https://i.imgur.com/NdMfGE3.png,5.1,d,Hindi,A,B,C,D,gk,86,manohar pandey,GROUP_D
78,https://i.imgur.com/cri0MKk.png,5.1,d,Hindi,A,B,C,D,gk,87,manohar pandey,GROUP_D
79,https://i.imgur.com/ubtvinc.png,5.1,d,Hindi,A,B,C,D,gk,88,manohar pandey,GROUP_D
80,https://i.imgur.com/Pbq8Otl.png,5.1,b,Hindi,A,B,C,D,gk,89,manohar pandey,GROUP_D
81,https://i.imgur.com/6qMAt08.png,5.1,c,Hindi,A,B,C,D,gk,90,manohar pandey,GROUP_D
82,https://i.imgur.com/tVmVYRx.png,5.1,c,Hindi,A,B,C,D,gk,91,manohar pandey,GROUP_D
83,https://i.imgur.com/4DU9ZTi.png,5.1,d,Hindi,A,B,C,D,gk,92,manohar pandey,GROUP_D
84,https://i.imgur.com/4ag35uo.png,5.1,c,Hindi,A,B,C,D,gk,93,manohar pandey,GROUP_D
85,https://i.imgur.com/ZiwzULl.png,5.1,a,Hindi,A,B,C,D,gk,94,manohar pandey,GROUP_D
86,https://i.imgur.com/iU8N76A.png,5.1,c,Hindi,A,B,C,D,gk,95,manohar pandey,GROUP_D
87,https://i.imgur.com/IdoyZ3r.png,5.1,c,Hindi,A,B,C,D,gk,96,manohar pandey,GROUP_D
88,https://i.imgur.com/Mg4FuAZ.png,5.1,d,Hindi,A,B,C,D,gk,97,manohar pandey,GROUP_D
89,https://i.imgur.com/q87BtJ1.png,5.1,c,Hindi,A,B,C,D,gk,99,manohar pandey,GROUP_D
90,https://i.imgur.com/DMKikkp.png,5.1,d,Hindi,A,B,C,D,gk,100,manohar pandey,GROUP_D
91,https://i.imgur.com/9YM1Xep.png,5.1,c,Hindi,A,B,C,D,gk,101,manohar pandey,GROUP_D
92,https://i.imgur.com/KUiBwG7.png,5.1,a,Hindi,A,B,C,D,gk,102,manohar pandey,GROUP_D
93,https://i.imgur.com/Z09AHIJ.png,5.1,a,Hindi,A,B,C,D,gk,103,manohar pandey,GROUP_D
94,https://i.imgur.com/3iaEc6C.png,5.1,a,Hindi,A,B,C,D,gk,104,manohar pandey,GROUP_D
95,https://i.imgur.com/Ofjb1ff.png,5.1,c,Hindi,A,B,C,D,gk,105,manohar pandey,GROUP_D
96,https://i.imgur.com/b0TfNYk.png,5.1,c,Hindi,A,B,C,D,gk,106,manohar pandey,GROUP_D
97,https://i.imgur.com/qLhxYee.png,5.1,c,Hindi,A,B,C,D,gk,107,manohar pandey,GROUP_D
98,https://i.imgur.com/riiDMaJ.png,5.1,d,Hindi,A,B,C,D,gk,108,manohar pandey,GROUP_D
99,https://i.imgur.com/AQE70v2.png,5.1,a,Hindi,A,B,C,D,gk,109,manohar pandey,GROUP_D
