,sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name
12,5,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/189 (07).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/189 (07).png,bio,1.1,7,E,A,B,C,D,,NEET,Eng,Universal,The Living World
13,6,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/189 (08).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/189 (08).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
14,7,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (01).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (01).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
15,8,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (02).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (02).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
16,9,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (03).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (03).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
17,10,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (04).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (04).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
18,11,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (05).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (05).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
19,12,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (06).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (06).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
20,13,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (07).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (07).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
21,14,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (08).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (08).png,bio,1.1,5,M,A,B,C,D,,NEET,Eng,Universal,The Living World
22,15,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (09).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (09).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
23,16,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (10).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (10).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
24,17,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (11).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (11).png,bio,1.1,5,M,A,B,C,D,,NEET,Eng,Universal,The Living World
25,18,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (12).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (12).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
26,19,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (13).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (13).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
27,20,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (14).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (14).png,bio,1.1,5,E,A,B,C,D,,NEET,Eng,Universal,The Living World
28,21,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (15).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (15).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
29,22,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/190 (16).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/190 (16).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
30,23,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/191 (01).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/191 (01).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
31,24,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/191 (02).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/191 (02).png,bio,1.1,3,E,A,B,C,D,,NEET,Eng,Universal,The Living World
32,25,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/191 (03).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/191 (03).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
33,26,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/191 (04).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/191 (04).png,bio,1.1,7,M,A,B,C,D,,NEET,Eng,Universal,The Living World
34,27,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/191 (05).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/191 (05).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
35,28,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/191 (06).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/191 (06).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
36,29,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/192 (01).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/192 (01).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
37,30,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/192 (02).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/192 (02).png,bio,1.1,3,D,A,B,C,D,,NEET,Eng,Universal,The Living World
38,31,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/192 (03).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/192 (03).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
39,32,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/192 (04).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/192 (04).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
40,33,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/192 (05).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/192 (05).png,bio,1.1,3,D,A,B,C,D,,NEET,Eng,Universal,The Living World
41,34,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/192 (06).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/192 (06).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
42,35,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/192 (07).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/192 (07).png,bio,1.1,3,D,A,B,C,D,,NEET,Eng,Universal,The Living World
43,36,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/192 (08).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/192 (08).png,bio,1.1,5,M,A,B,C,D,,NEET,Eng,Universal,The Living World
44,37,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/192 (09).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/192 (09).png,bio,1.1,3,E,A,B,C,D,,NEET,Eng,Universal,The Living World
45,38,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/192 (10).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/192 (10).png,bio,1.1,3,E,A,B,C,D,,NEET,Eng,Universal,The Living World
46,39,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/192 (11).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/192 (11).png,bio,1.1,7,E,A,B,C,D,,NEET,Eng,Universal,The Living World
47,40,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/192 (12).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/192 (12).png,bio,1.1,1,M,A,B,C,D,,NEET,Eng,Universal,The Living World
48,41,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/193 (01).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/193 (01).png,bio,1.1,5,M,A,B,C,D,,NEET,Eng,Universal,The Living World
49,42,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/193 (02).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/193 (02).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
50,43,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/193 (03).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/193 (03).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
51,44,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/193 (04).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/193 (04).png,bio,1.1,5,D,A,B,C,D,,NEET,Eng,Universal,The Living World
52,45,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/193 (05).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/193 (05).png,bio,1.1,5,M,A,B,C,D,,NEET,Eng,Universal,The Living World
53,46,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/193 (06).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/193 (06).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
54,47,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/193 (07).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/193 (07).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
55,48,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/193 (08).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/193 (08).png,bio,1.1,5,E,A,B,C,D,,NEET,Eng,Universal,The Living World
56,49,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/193 (09).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/193 (09).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
57,50,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/193 (10).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/193 (10).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
58,51,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/193 (11).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/193 (11).png,bio,1.1,3,D,A,B,C,D,,NEET,Eng,Universal,The Living World
59,52,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/193 (12).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/193 (12).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
60,53,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (01).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (01).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
61,54,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (02).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (02).png,bio,1.1,5,M,A,B,C,D,,NEET,Eng,Universal,The Living World
62,55,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (03).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (03).png,bio,1.1,3,E,A,B,C,D,,NEET,Eng,Universal,The Living World
63,56,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (04).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (04).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
64,57,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (05).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (05).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
65,58,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (06).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (06).png,bio,1.1,3,M,A,B,C,D,,NEET,Eng,Universal,The Living World
66,59,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (07).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (07).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
67,60,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (08).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (08).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
68,61,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (09).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (09).png,bio,1.1,7,M,A,B,C,D,,NEET,Eng,Universal,The Living World
69,62,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (10).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (10).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
70,63,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (11).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (11).png,bio,1.1,7,M,A,B,C,D,,NEET,Eng,Universal,The Living World
71,64,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (12).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (12).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
72,65,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (13).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (13).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
73,66,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (14).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (14).png,bio,1.1,7,E,A,B,C,D,,NEET,Eng,Universal,The Living World
74,67,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/194 (15).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/194 (15).png,bio,1.1,4,D,A,B,C,D,,NEET,Eng,Universal,The Living World
75,68,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/195 (01).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/195 (01).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
76,69,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/195 (02).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/195 (02).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
77,70,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/195 (03).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/195 (03).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
78,71,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/195 (04).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/195 (04).png,bio,1.1,3,D,A,B,C,D,,NEET,Eng,Universal,The Living World
79,72,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/195 (05).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/195 (05).png,bio,1.1,3,D,A,B,C,D,,NEET,Eng,Universal,The Living World
80,73,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/195 (06).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/195 (06).png,bio,1.1,5,D,A,B,C,D,,NEET,Eng,Universal,The Living World
81,74,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/195 (07).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/195 (07).png,bio,1.1,4,M,A,B,C,D,,NEET,Eng,Universal,The Living World
82,75,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/195 (08).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/195 (08).png,bio,1.1,4,M,A,B,C,D,,NEET,Eng,Universal,The Living World
83,76,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/195 (09).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/195 (09).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
84,77,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/195 (10).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/195 (10).png,bio,1.1,4,M,A,B,C,D,,NEET,Eng,Universal,The Living World
85,78,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/195 (11).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/195 (11).png,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
86,79,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/196 (01).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/196 (01).png,bio,1.1,4,M,A,B,C,D,,NEET,Eng,Universal,The Living World
87,81,b,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/196 (03).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/196 (03).png,bio,1.1,4,E,A,B,C,D,,NEET,Eng,Universal,The Living World
88,82,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/196 (04).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/196 (04).png,bio,1.1,5,M,A,B,C,D,,NEET,Eng,Universal,The Living World
89,83,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/196 (05).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/196 (05).png,bio,1.1,6,E,A,B,C,D,,NEET,Eng,Universal,The Living World
90,84,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/196 (06).png,,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Sol/196 (06).png,bio,1.1,3,D,A,B,C,D,,NEET,Eng,Universal,The Living World
91,85,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/196 (07).png,,,bio,1.1,6,D,A,B,C,D,,NEET,Eng,Universal,The Living World
92,86,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/196 (08).png,,,bio,1.1,7,M,A,B,C,D,,NEET,Eng,Universal,The Living World
93,87,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/196 (09).png,,,bio,1.1,4,M,A,B,C,D,,NEET,Eng,Universal,The Living World
94,88,d,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/196 (10).png,,,bio,1.1,6,M,A,B,C,D,,NEET,Eng,Universal,The Living World
95,89,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/197 (01).png,,,bio,1.1,3,D,A,B,C,D,,NEET,Eng,Universal,The Living World
96,90,a,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/197 (02).png,,,bio,1.1,4,M,A,B,C,D,,NEET,Eng,Universal,The Living World
97,91,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/197 (03).png,,,bio,1.1,3,D,A,B,C,D,,NEET,Eng,Universal,The Living World
98,92,c,https://s3.amazonaws.com/neetbodhiai/11bio chp 1 le 2 Que/197 (04).png,,,bio,1.1,7,M,A,B,C,D,,NEET,Eng,Universal,The Living World
99,1,a,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 QUE/2 (01).png,,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 SOL/1 (01).png,bio,10.1,2,E,A,B,C,D,,NEET,Eng,Universal,Cell Cycle And Cell Division
100,2,c,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 QUE/2 (02).png,,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 SOL/1 (02).png,bio,10.1,3,E,A,B,C,D,,NEET,Eng,Universal,Cell Cycle And Cell Division
101,3,d,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 QUE/2 (03).png,,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 SOL/1 (03).png,bio,10.1,1,E,A,B,C,D,,NEET,Eng,Universal,Cell Cycle And Cell Division
102,4,a,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 QUE/2 (04).png,,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 SOL/1 (04).png,bio,10.1,3,E,A,B,C,D,,NEET,Eng,Universal,Cell Cycle And Cell Division
103,5,b,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 QUE/2 (05).png,,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 SOL/1 (05).png,bio,10.1,3,E,A,B,C,D,,NEET,Eng,Universal,Cell Cycle And Cell Division
104,6,d,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 QUE/2 (06).png,,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 SOL/1 (06).png,bio,10.1,3,M,A,B,C,D,,NEET,Eng,Universal,Cell Cycle And Cell Division
105,7,a,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 QUE/2 (07).png,,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 SOL/1 (07).png,bio,10.1,1,D,A,B,C,D,,NEET,Eng,Universal,Cell Cycle And Cell Division
106,8,a,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 QUE/2 (08).png,,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 SOL/1 (08).png,bio,10.1,3,E,A,B,C,D,,NEET,Eng,Universal,Cell Cycle And Cell Division
107,9,a,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 QUE/2 (09).png,,https://s3.amazonaws.com/neetbodhiai/bioneet chp 10 SOL/1 (09).png,bio,10.1,3,M,A,B,C,D,,NEET,Eng,Universal,Cell Cycle And Cell Division
