,sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name
11,12,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (12).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 sol/1 (06).png,Physics_NEET,1.1,2,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
12,13,b,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (13).png,,,Physics_NEET,1.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
13,14,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (14).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 sol/1 (07).png,Physics_NEET,1.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
14,15,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (15).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 sol/1 (08).png,Physics_NEET,1.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
15,16,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (16).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 sol/1 (09).png,Physics_NEET,1.1,2,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
16,17,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (17).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 sol/1 (10).png,Physics_NEET,1.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
17,18,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (18).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 sol/1 (11).png,Physics_NEET,1.1,2,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
18,19,b,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 1 que/1 (19).png,,,Physics_NEET,1.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
19,1,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (01).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1 (01).png,Physics_NEET,1.1,4,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
20,2,b,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (02).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1 (02).png,Physics_NEET,1.1,4,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
21,3,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (03).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(03).png,Physics_NEET,1.1,7,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
22,4,b,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (04).png,,,Physics_NEET,1.1,7,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
23,5,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (05).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(04).png,Physics_NEET,1.1,4,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
24,6,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (06).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(05).png,Physics_NEET,1.1,4,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
25,7,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (07).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(06).png,Physics_NEET,1.1,4,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
26,8,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (08).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(07).png,Physics_NEET,1.1,4,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
27,9,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (09).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(08).png,Physics_NEET,1.1,4,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
28,10,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (10).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(09).png,Physics_NEET,1.1,4,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
29,11,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (11).png,,,Physics_NEET,1.1,7,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
30,12,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (12).png,,,Physics_NEET,1.1,4,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
31,13,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (13).png,,,Physics_NEET,1.1,4,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
32,14,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (14).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(10).png,Physics_NEET,1.1,4,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
33,15,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (15).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(11).png,Physics_NEET,1.1,7,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
34,16,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (16).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(12).png,Physics_NEET,1.1,4,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
35,17,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (17).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(13).png,Physics_NEET,1.1,4,D,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
36,18,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (18).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(14).png,Physics_NEET,1.1,5,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
37,19,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (19).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(15).png,Physics_NEET,1.1,5,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
38,20,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (20).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(16).png,Physics_NEET,1.1,4,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
39,21,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (21).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(17).png,Physics_NEET,1.1,3,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
40,22,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 QUES/1 (22).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 2 SOL/1(18).png,Physics_NEET,1.1,3,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
41,1,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (01).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(01).png,Physics_NEET,1.1,11,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
42,2,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (02).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(02).png,Physics_NEET,1.1,11,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
43,3,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (03).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(03).png,Physics_NEET,1.1,12,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
44,4,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (04).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(04).png,Physics_NEET,1.1,1,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
45,5,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (05).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(05).png,Physics_NEET,1.1,11,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
46,6,b,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (06).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(06).png,Physics_NEET,1.1,11,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
47,7,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (07).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(07).png,Physics_NEET,1.1,12,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
48,8,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (08).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(08).png,Physics_NEET,1.1,12,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
49,9,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (09).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(09).png,Physics_NEET,1.1,11,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
50,10,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (10).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(10).png,Physics_NEET,1.1,11,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
51,11,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (11).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(11).png,Physics_NEET,1.1,11,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
52,12,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (12).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(12).png,Physics_NEET,1.1,13,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
53,13,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (13).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(13).png,Physics_NEET,1.1,11,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
54,14,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (14).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(14).png,Physics_NEET,1.1,11,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
55,15,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (15).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(15).png,Physics_NEET,1.1,12,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
56,16,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (16).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(16).png,Physics_NEET,1.1,12,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
57,17,b,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (17).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(17).png,Physics_NEET,1.1,11,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
58,18,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (18).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(18).png,Physics_NEET,1.1,12,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
59,19,b,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (19).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(19).png,Physics_NEET,1.1,12,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
60,20,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (20).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(20).png,Physics_NEET,1.1,,,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
61,21,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (21).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(21).png,Physics_NEET,1.1,,,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
62,23,b,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (23).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(22).png,Physics_NEET,1.1,12,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
63,24,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (24).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(23).png,Physics_NEET,1.1,12,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
64,25,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (25).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(24).png,Physics_NEET,1.1,12,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
65,26,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (26).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(25).png,Physics_NEET,1.1,11,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
66,27,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (27).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(26).png,Physics_NEET,1.1,12,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
67,28,d,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (28).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(27).png,Physics_NEET,1.1,12,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
68,29,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (29).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(28).png,Physics_NEET,1.1,12,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
69,30,c,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1(30).png,,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 SOL/1(29).png,Physics_NEET,1.1,12,M,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
70,22,a,https://s3.amazonaws.com/trialgeometry2/11phy chp 1 L 3 QUE/1 (22).png,,,Physics_NEET,1.1,11,E,A,B,C,D,E,NEET_XI,Eng,Universal,Vector
71,5,d,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/11 (05).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/11 (05).png,Physics_NEET,10.1,1,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
72,7,d,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/11 (07).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/11 (07).png,Physics_NEET,10.1,1,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
73,10,a,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/11 (10).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/11 (10).png,Physics_NEET,10.1,1,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
74,11,d,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/11 (11).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/11 (11).png,Physics_NEET,10.1,1,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
75,13,d,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/11 (13).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/11 (13).png,Physics_NEET,10.1,1,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
76,14,c,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/11 (14).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/11 (14).png,Physics_NEET,10.1,1,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
77,15,c,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/11 (15).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/11 (15).png,Physics_NEET,10.1,1,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
78,17,d,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/12 (02).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/12 (02).png,Physics_NEET,10.1,1,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
79,18,a,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/12 (03).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/12 (03).png,Physics_NEET,10.1,1,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
80,20,b,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/12 (05).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/12 (05).png,Physics_NEET,10.1,1,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
81,21,c,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/12 (06).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/12 (06).png,Physics_NEET,10.1,1,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
82,23,d,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/12 (08).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/12 (08).png,Physics_NEET,10.1,1,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
83,24,c,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/12 (09).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/12 (09).png,Physics_NEET,10.1,1,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
84,25,d,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/12 (10).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/12 (10).png,Physics_NEET,10.1,1,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
85,26,c,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/12 (11).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/12 (11).png,Physics_NEET,10.1,1,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
86,27,d,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/12 (12).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/12 (12).png,Physics_NEET,10.1,1,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
87,1,a,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/13 (01).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/13 (01).png,Physics_NEET,10.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
88,2,a,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/13 (02).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/13 (02).png,Physics_NEET,10.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
89,3,a,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/13 (03).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/13 (03).png,Physics_NEET,10.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
90,4,d,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/13 (04).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/13 (04).png,Physics_NEET,10.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
91,5,b,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/13 (05).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/13 (05).png,Physics_NEET,10.1,2,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
92,6,d,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/13 (06).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/13 (06).png,Physics_NEET,10.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
93,7,d,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/13 (07).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/13 (07).png,Physics_NEET,10.1,2,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
94,8,c,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/13 (08).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/13 (08).png,Physics_NEET,10.1,2,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
95,9,d,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/13 (09).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/13 (09).png,Physics_NEET,10.1,2,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
96,10,c,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/13 (10).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/13 (10).png,Physics_NEET,10.1,2,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
97,11,c,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/13 (11).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/13 (11).png,Physics_NEET,10.1,2,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
98,12,c,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/14 (01).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/14 (01).png,Physics_NEET,10.1,2,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
99,14,b,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/14 (03).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/14 (03).png,Physics_NEET,10.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
100,15,b,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/14 (04).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/14 (04).png,Physics_NEET,10.1,2,E,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
101,16,b,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/14 (05).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/14 (05).png,Physics_NEET,10.1,2,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
102,17,a,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 que/14 (06).png,,https://s3.amazonaws.com/trialgeometry2/phy11 chp 10 L1 SOL/14 (06).png,Physics_NEET,10.1,2,M,A,B,C,D,E,NEET_XI,Eng,Universal,Surface Tension
